Cell Index,Cell X,Cell Y,Height,Azimuth,Electrical Downtilt,Mechanical Downtilt,Frequency Band,RS Power,Cell Altitude,Cell Building Height,Cell Clutter Index,X,Y,Altitude,Building Height,Clutter Index,RSRP
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,405200,3395005,505,0,7,-99.0
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404530,3394840,506,0,6,-90.0
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404655,3394715,503,0,5,-109.5
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404540,3394810,505,0,5,-102.5
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404950,3395060,504,0,7,-109.0
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404945,3395045,504,0,7,-107.67
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404545,3394805,505,0,13,-92.5
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404550,3394820,505,0,5,-97.0
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404520,3394830,506,0,6,-94.5
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404535,3394835,506,0,6,-93.29
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404635,3394810,505,36,5,-97.0
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404580,3394855,505,27,12,-81.0
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404850,3395065,504,15,13,-106.5
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404855,3395070,504,15,5,-111.5
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404840,3395075,504,0,13,-103.5
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404860,3395055,504,15,5,-107.25
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404560,3394875,506,0,12,-81.0
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404865,3395060,504,15,5,-106.25
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404570,3394865,506,0,12,-79.47
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404585,3394860,505,0,13,-78.25
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404575,3394870,506,0,12,-82.78
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404565,3394880,506,0,12,-82.0
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,405145,3394715,503,0,7,-110.67
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,405140,3394720,503,0,7,-110.29
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,405150,3394710,503,0,5,-108.5
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404495,3395240,503,0,13,-95.33
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404490,3395235,503,0,13,-95.6
1281101,404745.0,3394870.0,17,300,3,0,2585.0,9.2,507,0,5,404460,3395050,505,42,5,-89.5
