Cell Index,Cell X,Cell Y,Height,Azimuth,Electrical Downtilt,Mechanical Downtilt,Frequency Band,RS Power,Cell Altitude,Cell Building Height,Cell Clutter Index,X,Y,Altitude,Building Height,Clutter Index,RSRP
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404795,3390055,499,0,5,-89.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404785,3390045,498,36,5,-93.75
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404490,3389800,500,0,5,-90.25
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404685,3389985,504,0,13,-108.33
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404655,3389955,504,0,5,-106.5
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404495,3389795,500,0,5,-91.5
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404625,3390080,501,0,5,-94.43
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404780,3389915,502,0,5,-90.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404620,3390075,501,0,5,-93.29
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404600,3390055,501,15,5,-102.5
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404425,3389475,498,0,5,-106.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404160,3389700,498,0,5,-104.4
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404175,3389685,498,0,5,-105.33
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404190,3389710,498,0,5,-107.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404215,3389725,498,0,11,-100.8
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404420,3389480,498,0,5,-109.16
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404165,3389695,498,0,5,-111.86
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404170,3389690,498,0,5,-104.7
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404210,3389730,498,0,11,-103.67
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404370,3389570,499,0,5,-87.5
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404195,3389705,498,0,5,-104.08
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404180,3389720,498,0,11,-107.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404205,3389735,498,0,11,-106.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,403795,3389345,498,0,6,-85.67
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,403785,3389355,498,0,6,-94.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404385,3389715,498,48,13,-94.5
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404200,3389540,500,0,6,-97.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404255,3389485,501,0,5,-91.5
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404170,3389570,499,0,13,-95.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404160,3389580,499,0,5,-100.33
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404335,3389725,498,0,5,-112.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404175,3389565,499,0,13,-98.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404295,3389795,498,48,5,-108.5
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404305,3389765,498,0,5,-101.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404240,3389830,498,0,11,-109.5
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404265,3389805,498,0,5,-115.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404195,3389895,498,0,11,-109.0
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404260,3389810,498,0,5,-120.91
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404315,3389775,498,0,5,-98.5
3022501,404755.0,3389820.0,27,310,6,5,2585.0,9.2,503,12,6,404300,3389770,498,0,5,-98.5
