Cell Index,Cell X,Cell Y,Height,Azimuth,Electrical Downtilt,Mechanical Downtilt,Frequency Band,RS Power,Cell Altitude,Cell Building Height,Cell Clutter Index,X,Y,Altitude,Building Height,Clutter Index,RSRP
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428480,3379605,517,0,5,-118.0
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428680,3379380,513,0,10,-94.5
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428750,3379440,511,0,5,-103.5
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428755,3379435,511,0,5,-113.5
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428350,3379435,517,0,5,-102.83
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428620,3379450,517,5,5,-113.0
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428745,3379430,511,0,5,-112.75
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428750,3379435,511,0,5,-114.33
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428640,3379460,517,5,10,-104.6
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428395,3379590,516,0,10,-106.0
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428785,3379535,513,0,5,-94.5
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428645,3379470,517,5,10,-103.5
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428640,3379465,517,5,10,-102.5
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428345,3379440,517,0,5,-105.5
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428355,3379435,517,0,5,-104.57
2791701,428500.0,3382740.0,22,180,9,0,2585.0,9.2,512,0,6,428395,3379600,516,0,10,-107.5
